City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
144,ginda,30.6945,78.4932,63.86,85,100,3.65,IN,1661114227
145,namibe,-15.1961,12.1522,64.27,96,28,7.52,AO,1661114227
146,saskylakh,71.9167,114.0833,35.28,92,99,4.79,RU,1661113853
147,luderitz,-26.6481,15.1594,60.08,57,1,7.65,NA,1661114228
148,tubuala,9.5167,-79.0333,80.98,81,100,5.88,PA,1661114228
149,raga,8.4596,25.678,69.08,98,55,3.2,SS,1661114229
150,shingu,33.7333,135.9833,77.45,90,0,5.48,JP,1661114230
151,dryden,49.7833,-92.7503,77.29,44,0,9.22,CA,1661114230
152,santa marta,11.2408,-74.199,82.4,77,96,8.61,CO,1661114158
153,maiduguri,11.8464,13.1603,74.68,84,99,6.51,NG,1661114231
154,tazovskiy,67.4667,78.7,42.96,79,100,2.51,RU,1661113934
155,muros,42.7762,-9.0603,70.68,83,20,8.32,ES,1661114232
156,comodoro rivadavia,-45.8667,-67.5,57.06,54,0,8.05,AR,1661114232
157,penzance,50.1186,-5.5371,64.76,83,97,11.25,GB,1661114233
158,long branch,40.3043,-73.9924,83.28,78,40,9.22,US,1661114233
159,huanren,41.2647,125.3667,62.15,98,100,1.25,CN,1661114234
160,cayenne,4.9333,-52.3333,75.24,94,75,9.22,GF,1661114234
161,carnarvon,-24.8667,113.6333,64.35,69,0,15.23,AU,1661114235
162,aswan,24.0934,32.907,97.9,14,0,9.22,EG,1661114236
163,touros,-5.1989,-35.4608,76.42,73,96,16.42,BR,1661114208
164,flinders,-34.5833,150.8552,51.39,80,98,1.99,AU,1661114236
165,pevek,69.7008,170.3133,49.32,61,2,20.76,RU,1661114237
166,taoudenni,22.6783,-3.9836,103.08,15,80,3.6,ML,1661114237
167,tessalit,20.1986,1.0114,97.25,19,19,6.8,ML,1661114237
168,ishigaki,24.3448,124.1572,78.93,94,40,3.44,JP,1661114238
169,ciudad bolivar,8.1222,-63.5497,76.68,85,100,8.97,VE,1661114238
170,lasa,46.6166,10.7002,58.95,80,8,5.5,IT,1661114239
171,esperance,-33.8667,121.9,53.53,66,100,22.79,AU,1661114240
